1	0.0000387	0.0000352	0.912	0.880
2	0.000154	0.000138	0.863	0.923
4	0.000650	0.000591	1.121	1.075
6	0.00175	0.00155	1.308	1.265
7	0.00301	0.00265	1.332	1.265
8	0.00451	0.00395	1.327	1.312
10	0.0101	0.00887	1.276	1.310
12	0.0188	0.0168	1.217	1.264
15	0.0367	0.0335	1.154	1.200
20	0.0751	0.0691	1.009	1.128
25	0.124	0.113	1.061	1.030
30	0.187	0.167	1.021	1.000
35	0.263	0.233	0.979	0.983
40	0.350	0.310	0.939	0.929
45	0.442	0.393	0.903	0.897
50	0.536	0.479	0.873	0.868
60	0.707	0.642	0.826	0.824
70	0.851	0.784	0.793	0.793
80	0.975	0.906	0.769	0.769	
90	1.06	0.999	0.753	0.754
100	1.12	1.06	0.743	0.744
120	1.18	1.13	0,731	0.732
